name,pca_x,pca_y,_id
14.jpg,-8.826602,-24.478226,0
13.jpg,7.8974485,-0.6260683,1
53.jpg,-1.3078122,-51.701275,2
54.jpg,-3.9766185,3.639323,3
28.jpg,3.706549,5.5636907,4
5.jpg,-22.353354,-36.379467,5
26.jpg,13.976896,-4.6044326,6
21.jpg,34.720596,-3.1569352,7
2.jpg,23.235716,-5.3913517,8
30.jpg,-21.89829,-63.774696,9
37.jpg,-14.18304,-0.11370481,10
45.jpg,-2.3754177,-63.291443,11
39.jpg,-7.0295825,-14.634396,12
42.jpg,-10.898489,7.473638,13
20.jpg,-2.2831235,-8.602791,14
3.jpg,-10.200026,-36.239166,15
4.jpg,-39.09424,-8.719156,16
27.jpg,-46.86573,-12.219597,17
55.jpg,0.81036556,-1.8409207,18
29.jpg,12.550128,-30.783669,19
52.jpg,-40.614285,-18.654097,20
12.jpg,1.701282,18.818878,21
15.jpg,10.072154,-13.25804,22
43.jpg,-15.661533,-42.8575,23
44.jpg,-8.136681,-57.1175,24
38.jpg,16.720675,-20.48394,25
36.jpg,-13.39055,-9.19807,26
31.jpg,2.2875643,-14.471136,27
47.jpg,-27.341587,-56.1375,28
40.jpg,8.051636,12.516588,29
32.jpg,-30.874613,-16.94501,30
49.jpg,-16.278929,-18.630362,31
35.jpg,12.0325165,5.353086,32
7.jpg,-23.82901,2.5186996,33
58.jpg,-22.677187,-14.896816,34
24.jpg,28.122822,-18.795021,35
23.jpg,26.974478,8.1948395,36
0.jpg,-24.436123,-24.444992,37
51.jpg,-2.0135639,11.040811,38
56.jpg,5.6729746,-7.393574,39
9.jpg,13.048908,23.090841,40
18.jpg,-20.330984,-49.979706,41
16.jpg,-11.62318,-50.592857,42
11.jpg,-0.6463637,29.965263,43
48.jpg,-26.413113,-44.397358,44
34.jpg,-29.634764,-8.403308,45
33.jpg,-19.130741,11.791344,46
41.jpg,17.28271,13.142687,47
46.jpg,-14.469013,-29.554283,48
10.jpg,-1.732908,-31.535696,49
17.jpg,17.417063,-11.752748,50
19.jpg,-16.83971,-57.167175,51
57.jpg,-2.2056582,-21.832115,52
8.jpg,7.293043,-21.011322,53
50.jpg,-7.1749687,-3.2499318,54
22.jpg,-12.481393,-65.11475,55
1.jpg,-5.6873674,-43.56529,56
6.jpg,18.805803,2.0680652,57
59.jpg,-10.962969,17.586523,58
25.jpg,-20.836975,-6.4571147,59
