name,pca_x,pca_y
114.jpg,24.59925,-13.666679
509.jpg,7.3699613,-7.464808
168.jpg,21.178179,6.349474
823.jpg,-5.8978124,37.84398
451.jpg,-14.709616,-2.1438553
797.jpg,-19.369116,-18.974802
746.jpg,1.7070669,-15.474734
327.jpg,20.57163,-12.136207
480.jpg,-25.404926,-23.337526
1007.jpg,1.9288039,20.114807
619.jpg,2.932898,-2.971516
278.jpg,9.806337,-14.63824
79.jpg,-10.36857,-0.6417798
456.jpg,-9.757256,-16.581526
824.jpg,-3.2992089,33.482338
790.jpg,6.8260994,1.060731
741.jpg,15.018978,-22.22686
487.jpg,38.953037,9.564493
320.jpg,0.2667095,-9.797797
1000.jpg,3.2283888,18.157207
665.jpg,36.843044,9.867003
204.jpg,-14.347365,-14.441527
900.jpg,4.0444794,12.474234
572.jpg,-7.704512,-12.057241
113.jpg,5.208592,-17.57617
858.jpg,-4.028728,38.61501
889.jpg,-7.375403,41.04679
801.jpg,-1.6672174,37.463943
473.jpg,3.8265128,-6.784282
305.jpg,15.94949,-24.112217
764.jpg,-17.739412,3.5183306
988.jpg,9.094277,36.4825
959.jpg,10.175753,29.30104
20.jpg,-7.4923744,-3.160626
379.jpg,-19.969236,-0.5245065
718.jpg,2.44224,-24.8829
586.jpg,-24.16748,-9.067972
221.jpg,24.874231,6.8163323
640.jpg,-23.668741,8.532412
136.jpg,-17.736256,-6.7952
691.jpg,-11.135524,-22.050053
557.jpg,-0.53849274,-1.8461938
925.jpg,3.5393403,34.17767
27.jpg,24.196047,-13.517512
408.jpg,13.719761,-19.18711
226.jpg,2.6898875,-25.41437
581.jpg,-0.34749174,-12.539858
647.jpg,-6.5047336,-23.495943
696.jpg,11.637402,25.674074
131.jpg,12.646154,-1.7052507
922.jpg,-1.3276485,34.968983
550.jpg,-15.290546,-9.467991
474.jpg,-13.466531,-5.0053425
806.jpg,-3.116182,29.442823
302.jpg,-16.222826,2.0727932
1022.jpg,28.036201,6.8744044
763.jpg,-18.228884,4.5541024
406.jpg,-16.428617,1.9513925
874.jpg,-3.889087,34.65042
29.jpg,-8.875034,13.558161
370.jpg,-1.9832644,-10.545391
711.jpg,21.966936,-1.8537687
228.jpg,9.736123,-22.53729
649.jpg,-4.3394113,-13.141265
698.jpg,25.24663,-12.893748
808.jpg,3.553841,31.691723
55.jpg,-12.917135,-10.517662
84.jpg,18.24784,5.871683
981.jpg,8.685155,33.02422
254.jpg,1.7119966,-7.375731
192.jpg,-19.849049,4.49657
635.jpg,11.217328,-9.896483
143.jpg,22.665255,5.077271
950.jpg,5.4715686,22.830816
522.jpg,23.592695,3.4860384
285.jpg,14.559953,-20.42993
52.jpg,24.379566,-11.846497
83.jpg,20.33109,-8.796717
253.jpg,14.5044565,-12.825409
986.jpg,2.9840071,23.905464
632.jpg,-13.35596,-9.282042
195.jpg,-5.542017,0.9885022
144.jpg,-5.8152227,9.398463
282.jpg,40.2892,7.1858287
525.jpg,13.932313,-23.413548
957.jpg,9.997652,37.86504
873.jpg,-7.564792,38.058563
401.jpg,3.7923598,-10.275373
377.jpg,-24.658579,-22.705597
716.jpg,-26.575947,-16.63564
588.jpg,17.038588,-6.4571476
138.jpg,26.691431,9.761584
559.jpg,23.39561,7.1671863
499.jpg,13.298156,-20.809822
67.jpg,-1.5212637,32.772835
448.jpg,-20.420326,-12.708585
510.jpg,15.429702,-20.987011
962.jpg,3.8032942,20.809523
171.jpg,-1.6322827,-13.227302
607.jpg,-12.698793,-17.6678
266.jpg,-9.084455,16.369778
723.jpg,-7.125485,-26.507507
342.jpg,-21.098635,-15.445107
897.jpg,-7.1913786,39.385166
393.jpg,1.4364012,-14.802302
846.jpg,10.456452,27.439259
434.jpg,-21.774931,7.0335546
724.jpg,-12.280333,-9.815917
890.jpg,-1.9393368,28.465256
345.jpg,11.429644,-5.097029
433.jpg,-20.572006,-0.5635832
841.jpg,-2.140495,36.472923
394.jpg,13.062032,-13.249577
919.jpg,-1.413317,32.259705
758.jpg,14.765206,-21.204586
1019.jpg,2.0846677,18.516184
339.jpg,-7.173889,-26.748816
60.jpg,-9.764556,11.224741
789.jpg,-17.860075,-11.177811
965.jpg,4.1106873,37.824257
517.jpg,21.924822,3.1420662
176.jpg,-16.569807,-13.053611
600.jpg,22.693203,0.5892637
261.jpg,4.9176884,-14.592407
12.jpg,-14.94024,-21.013638
917.jpg,-2.7385688,28.104944
565.jpg,-7.465379,-16.029316
104.jpg,23.495832,-12.420064
672.jpg,-2.1224198,-22.620556
213.jpg,-18.128187,-16.544735
756.jpg,-28.818632,-17.123386
337.jpg,-6.884255,11.160277
490.jpg,-14.380477,-9.598577
1017.jpg,8.199302,22.119377
441.jpg,10.11788,-20.028908
833.jpg,5.2792835,32.057957
787.jpg,-3.123966,-5.0637817
519.jpg,24.218693,3.5866706
178.jpg,-12.473456,-29.93181
751.jpg,15.715652,-22.109192
497.jpg,-7.3095746,-22.984581
330.jpg,-16.439869,-14.734479
1010.jpg,7.4707417,21.867273
834.jpg,6.211868,32.249977
446.jpg,-16.34816,-1.0310504
69.jpg,-18.029108,-12.86043
780.jpg,-0.38607112,3.392999
609.jpg,-2.1486425,-22.59869
268.jpg,-17.458057,4.442213
899.jpg,-1.223994,30.279467
848.jpg,6.4233413,35.622818
15.jpg,-10.293198,-3.3406308
562.jpg,-6.843073,-23.783049
910.jpg,-3.0708485,38.008064
103.jpg,-5.5502543,10.154151
675.jpg,13.300462,-2.9495852
214.jpg,-4.0855293,-20.815771
618.jpg,-5.5585513,-11.35246
279.jpg,-7.4648933,8.618431
457.jpg,-16.80763,-9.240143
825.jpg,-6.658299,39.217003
78.jpg,-15.10669,6.4310675
791.jpg,-0.732386,-7.3027496
740.jpg,-8.05607,-22.538036
1001.jpg,7.8442783,25.47326
321.jpg,-13.6741295,1.7540929
486.jpg,16.236862,-6.71623
664.jpg,-5.1723804,-21.672615
205.jpg,-9.612306,16.081032
901.jpg,-4.7711735,35.928677
573.jpg,12.046964,-21.619556
112.jpg,18.02411,-5.981304
859.jpg,-1.1737119,27.11343
888.jpg,-2.8474944,35.58736
663.jpg,-7.253682,-4.2131076
202.jpg,21.319357,0.5406841
574.jpg,-10.403176,-0.34774458
906.jpg,7.07017,34.944824
115.jpg,25.16518,2.3395123
508.jpg,-24.451443,-22.296694
169.jpg,-24.922245,-9.943013
822.jpg,3.8245225,32.762146
450.jpg,-20.884342,-14.77223
796.jpg,-4.840687,-8.06476
747.jpg,15.026074,-22.632236
1006.jpg,3.0148454,19.788456
481.jpg,22.656815,-1.6267393
326.jpg,-10.388718,12.469449
908.jpg,-8.005531,38.943188
385.jpg,-0.71144426,-16.533075
850.jpg,7.771851,33.20367
422.jpg,-4.6646976,-3.8597329
735.jpg,-16.5579,-0.4247316
354.jpg,-5.9338865,0.46613005
881.jpg,8.803935,24.768082
611.jpg,-11.684193,-24.919518
270.jpg,6.7660966,-18.78587
506.jpg,-14.782643,-13.813549
974.jpg,27.101913,7.1770763
